Name,Location,Locality,City,Cuisine,Rating,Votes,Cost
Tamasha,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Finger Food,  North Indian,  Italian,  Continental,  Asian",4.2,5016,2000
Boa Village,"The Exchange Store Building,Civil Lines, North Delhi", North Delhi,Delhi,"Asian,  Chinese,  Japanese,  Korean",4.4,4265,2000
Byg Brewski Brewing Company,"Sarjapur Road, South Bangalore", South Bangalore,Bangalore,"North Indian,  Italian,  Continental,  South Indian,  Thai,  Finger Food",4.4,3500,1500
AIR An Ivory Region,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"North Indian,  Continental,  Oriental ,  Italian,  Street Food",4,3270,1200
TOS - Take Off Scarlet,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",3.9,3055,1200
The Junkyard Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Mediterranean,  Asian,  Italian,  Oriental ",4.2,2821,1800
Flechazo,"Sun Towers,Madhapur, West Hyderabad", West Hyderabad,Hyderabad,Multi-Cuisine,4.1,2707,1300
Jazbaa Lounge and Bar,"Rajouri Garden, West Delhi", West Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Asian,  Mughlai",4.1,2696,1600
Lord of the Drinks,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Continental,  Japanese,  Oriental ",4.2,2694,2000
Uncultured Cafe & Bar,"Kailash Colony, South Delhi", South Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Finger Food",4.3,2548,1500
My Bar Headquarters,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Finger Food,  North Indian,  Italian,  Chinese",4.1,2503,1500
The Barbeque Company,"Jail Road, West Delhi", West Delhi,Delhi,"North Indian,  Barbecue,  Chinese",4.3,2478,2100
Spice Factory,"White Square Building,Hinjewadi, West Pune", West Pune,Pune,"North Indian,  Finger Food",4.1,2478,1700
Station Bar,"F-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Mediterranean,  Oriental ",4.1,2428,2000
Qubitos - The Terrace Cafe,"Rajouri Garden, West Delhi", West Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Thai,  Mexican,  European",4.1,2422,1500
Local,"Scindia House,Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Finger Food,  Continental",4.1,2415,2000
Boombox Cafe,"Rajouri Garden, West Delhi", West Delhi,Delhi,"Arabian,  North Indian,  Continental,  Mexican,  Oriental ",4.1,2399,2500
Byg Brewski Brewing Company,"Hennur, North Bangalore", North Bangalore,Bangalore,"North Indian,  Italian,  Continental,  Thai,  Finger Food",4.3,2384,1500
Biergarten,"Whitefield, East Bangalore", East Bangalore,Bangalore,"Continental,  Finger Food,  American",4.4,2371,2400
The G.T. ROAD,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,North Indian,4.3,2363,1500
Warehouse Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Fusion,  Italian,  Chinese",4.1,2335,2500
Imly,"Rajouri Garden, West Delhi", West Delhi,Delhi,"Street Food,  North Indian,  Chinese,  South Indian,  Fast Food",4.1,2243,800
1 Oak Cafe & Bar,"Defence Colony, South Delhi", South Delhi,Delhi,"Finger Food,  Italian,  Continental,  Asian",4.2,2118,1600
736 AD Cafe & Bar,"Vijay Nagar, North Delhi", North Delhi,Delhi,"Multi-Cuisine,  Italian,  Chinese,  Continental,  Lebanese",4.2,2062,1500
The Barbeque Company,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Barbecue,  Chinese",4.3,1944,1800
ABs - Absolute Barbecues,"Pammasani Complex,Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"North Indian,  Barbecue,  Seafood",4.3,1911,1200
The Flying Saucer,"Epicuria Food Mall,Nehru Place, South Delhi", South Delhi,Delhi,"Finger Food,  North Indian,  Italian,  Continental,  Mediterranean,  Oriental ",4.1,1832,2800
Unplugged Courtyard,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Continental",4.1,1817,2000
Chili's American Grill and Bar,"DLF Mall of India,Sector 18, Noida", Noida,Noida,"Mexican,  American,  Italian",4.4,1789,2000
Teddy Boy,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Continental,  Italian,  Chinese",4.2,1753,2000
Fly Kouzina,"Salt Lake, East Kolkata", East Kolkata,Kolkata,"North Indian,  Oriental ,  Western",4.4,1735,1200
The Druid Garden,"Sahakara Nagar, North Bangalore", North Bangalore,Bangalore,"Multi-Cuisine,  North Indian,  Continental,  Mediterranean,  European,  Asian",4.3,1730,1200
Spice Factory,"Goodwill Landmark,Kharadi, East Pune", East Pune,Pune,"North Indian,  Finger Food",4.1,1683,1700
Castle Barbeque,"Pacific Mall,Tagore Garden, West Delhi", West Delhi,Delhi,"North Indian,  Chinese",4,1652,2000
Informal By Imperfecto,"Janpath, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  Italian,  Continental,  Thai,  Oriental ",4.1,1634,2400
The Sky High,"Ansal Plaza Mall,Khel Gaon, South Delhi", South Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Mughlai",4.2,1629,2000
The Darzi Bar & Kitchen,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Mexican,  European,  Oriental ",4.1,1624,2000
JW Kitchen,"JW Marriott Hotel Kolkata,JBS Haldane Avenue, South Kolkata", South Kolkata,Kolkata,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Mediterranean",4.4,1550,3000
Cafe MRP,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Italian,  Oriental ",4.2,1534,1400
Ministry Of Beer,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,"Finger Food,  North Indian,  Italian,  Continental,  Oriental ,  Fusion",4,1501,2100
Ohri's - Sahib’s Barbeque,"Cyber Grub,Hitech City, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Barbecue,  Hyderabadi,  Awadhi",4.1,1501,1500
Spezia Bistro,"Hudson Lane, North Delhi", North Delhi,Delhi,"Fast Food,  Italian,  Continental,  Oriental ",4.5,1482,1200
The Salt Cafe Kitchen & Bar,"Preet Vihar, East Delhi", East Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  American",4.3,1479,2000
Cafe Delhi Heights,"DLF Mall of India,Sector 18, Noida", Noida,Noida,"Modern Indian,  Italian,  Continental,  American",4.4,1479,2000
Tippling Street,"Rajouri Garden, West Delhi", West Delhi,Delhi,"North Indian,  Chinese,  Continental,  Asian",4.3,1435,1800
Amogham - The Lake View Restaurant,"Khairatabad, Central Hyderabad", Central Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Chinese,  Continental,  Mughlai",3.8,1427,1000
Farzi Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Modern Indian,  Continental,  Finger Food",4.2,1410,2000
Ohri's - Nautanki Gali,"Hitech City, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Chinese,  Continental,  South Indian,  Mediterranean,  Indian Cuisine",3.8,1405,1100
Imperfecto,"Gardens Galleria,Sector 38A, Noida", Noida,Noida,"Multi-Cuisine,  North Indian,  Mediterranean",4,1403,2400
Ardor 2.1 Restaurant and Lounge,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Seafood",3.9,1391,2000
Berco's,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Chinese,  Thai",4.3,1378,1500
The Barbeque Company,"Karkardooma, East Delhi", East Delhi,Delhi,"North Indian,  Barbecue,  Chinese",4.3,1372,2100
Imly,"Ashok Vihar Phase - 2, North Delhi", North Delhi,Delhi,"Street Food,  North Indian,  Chinese,  South Indian,  Fast Food",4.2,1363,800
Cafe Delhi Heights,"Cyber Hub,DLF Cyber City, Gurgaon", Gurgaon,Gurgaon,"Continental,  Modern Indian,  Italian,  American",4.4,1344,2000
Angrezi Dhaba,"Nakshtra Mall,Dadar West, South Mumbai", South Mumbai,Mumbai,"North Indian,  Chinese,  Asian,  Seafood,  Mughlai",4.1,1343,1500
Molecule Air Bar,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Italian,  Chinese,  Continental,  Mediterranean,  Asian",4.3,1342,2800
Platform 65,"PNR Empire,Kukatpally, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Chinese",4,1339,1200
ABs - Absolute Barbecues,"Apurupa Silpi,Gachibowli, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Barbecue,  Seafood",4.4,1335,1200
Raize The Bar,"Godrej Waterside,Salt Lake, East Kolkata", East Kolkata,Kolkata,"North Indian,  Italian,  Chinese",4.4,1335,2000
Lord of the Drinks Drinks Chamber,"Rajouri Garden, West Delhi", West Delhi,Delhi,"Multi-Cuisine,  North Indian,  Continental,  Oriental ",4.2,1333,2300
38 Barracks,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Italian,  Chinese,  Continental",4.3,1301,1700
Clue,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"North Indian,  Italian,  Continental,  Chinese,  Oriental ,  Street Food",3.9,1296,1500
Xpose Lounge,"ITL Twin Tower,Netaji Subhash Place, North Delhi", North Delhi,Delhi,"North Indian,  Chinese,  Finger Food",3.9,1294,1700
ABs - Absolute Barbecues,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"North Indian,  Barbecue,  Seafood",4.4,1294,1200
Carpe Diem,"Park Street, Central Kolkata", Central Kolkata,Kolkata,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",4.5,1289,1600
Lazeez Affaire,"Malcha Marg Shopping Complex,Chanakyapuri, South Delhi", South Delhi,Delhi,"North Indian,  Chinese,  Mughlai",4.4,1275,2600
Openhouse Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental,  American,  Asian,  Modern Indian",4.2,1272,2200
Master Of Malts,"Scindia House,Connaught Place, Central Delhi", Central Delhi,Delhi,"Continental,  Finger Food,  North Indian,  Italian,  Mediterranean,  European,  Asian",4.1,1269,2000
Smoke Hub Barbeque,"Velachery, South West Chennai", South West Chennai,Chennai,"North Indian,  Barbecue",4,1257,1800
Cafe Delhi Heights,"Pacific Mall,Tagore Garden, West Delhi", West Delhi,Delhi,"Modern Indian,  Italian,  Continental,  American",4.5,1251,2000
Raftaar - The High Speed Bar and Lounge,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"Continental,  North Indian,  Italian",4.2,1229,1600
Vapour Brewpub and Diner,"Bren Mercury,Sarjapur Road, South Bangalore", South Bangalore,Bangalore,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Asian",4.3,1213,1700
ABs - Absolute Barbecues,"CPR Towers,BTM Layout, South Bangalore", South Bangalore,Bangalore,"North Indian,  Barbecue,  Seafood",4.5,1203,1200
Chili's American Grill and Bar,"Ambience Mall,Vasant Kunj, South Delhi", South Delhi,Delhi,"Mexican,  American,  Italian",4.5,1202,2000
Nawwarah Dine Lounge & Sweets,"Ballygunge, South Kolkata", South Kolkata,Kolkata,"North Indian,  Chinese,  Continental",4.2,1202,1400
The Bikers Cafe,"Platinum Mall,Elgin Road, South Kolkata", South Kolkata,Kolkata,"Italian,  Continental,  European",4.3,1201,1100
Off Campus,"Satya Niketan, South Delhi", South Delhi,Delhi,"North Indian,  Italian,  Continental,  Fast Food",4.2,1157,1000
Chili's American Grill and Bar,"Pacific Mall,Tagore Garden, West Delhi", West Delhi,Delhi,"Mexican,  American,  Italian",4.5,1157,2000
36 Downtown,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"North Indian,  Continental",4.3,1154,2500
The Caravan Menu,"Sun Magnetica Building,Thane West, Thane", Thane,Mumbai,"North Indian,  Chinese,  Fast Food",4.3,1148,1600
Warehouse Cafe,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Fusion,  Italian,  Chinese",4.1,1107,2500
TEO - Lounge & Bar,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"North Indian,  Oriental ,  Italian",3.9,1098,1200
Chili's American Grill and Bar,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,"Mexican,  American,  Italian",4.4,1094,2000
The Fisherman's Wharf,"Sarjapur Road, South Bangalore", South Bangalore,Bangalore,"Seafood,  North Indian,  Continental,  Goan",4.2,1094,1600
1522 - The Pub,"New BEL Road, North Bangalore", North Bangalore,Bangalore,"North Indian,  Multi-Cuisine,  Chinese,  Continental,  Coastal",4.4,1088,1400
Sandoz,"Rajouri Garden, West Delhi", West Delhi,Delhi,"North Indian,  Chinese",4.4,1082,1200
ABs - Absolute Barbecues,"MGF Metropolis Mall,MG Road, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Mediterranean,  European,  Barbecue,  Seafood",4.5,1080,1800
Judge & Jury,"Vijay Nagar, North Delhi", North Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  American",4.1,1076,1400
Smoky Pitara,"Sreshta Aura,Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"North Indian,  Continental,  Oriental ",3.9,1076,1300
Red Rhino,"Uptown Square,Whitefield, East Bangalore", East Bangalore,Bangalore,"Multi-Cuisine,  Finger Food,  North Indian,  Continental,  South Indian,  Mediterranean,  Asian",4.3,1073,1500
Antidot Waterbar and Cafe,"Safdarjung Enclave Market,Safdarjung, South Delhi", South Delhi,Delhi,"Multi-Cuisine,  Italian,  Continental,  Asian,  Modern Indian",4.2,1071,3000
The Big Barbeque,"Marathahalli, East Bangalore", East Bangalore,Bangalore,"Barbecue,  Chinese,  Continental",4.1,1066,1800
Cafe Delhi Heights,"Sangam Courtyard,RK Puram, South Delhi", South Delhi,Delhi,"Modern Indian,  Italian,  Continental,  American",4.5,1046,2000
Hammered,"Cunningham Road, Central Bangalore", Central Bangalore,Bangalore,"North Indian,  Thai",4.3,1038,1200
The Luggage Room By Sandoz,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",4,1022,1800
I Sacked Newton,"Logix City Centre Mall,Sector 32, Noida", Noida,Noida,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Thai,  Mediterranean,  Japanese,  Oriental ",4.1,1014,1800
Roots,"RNS Square,Koramangala, South Bangalore", South Bangalore,Bangalore,"North Indian,  Chinese,  Seafood,  Mughlai",4.4,1013,1500
Sixth Empirica,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"North Indian,  Italian,  Chinese,  Continental",4.1,1008,1200
Stories Brewery and Kitchen,"BTM Layout, South Bangalore", South Bangalore,Bangalore,"Continental,  North Indian",4.3,994,2000
Biergarten,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Continental,  Finger Food,  North Indian,  South Indian",4.4,990,2400
Band Baaja Baaraat,"Rajouri Garden, West Delhi", West Delhi,Delhi,North Indian,3.9,986,1500
The Reservoire,"Koramangala, South Bangalore", South Bangalore,Bangalore,"North Indian,  Finger Food,  Continental,  Asian,  Pizza",4.3,974,1400
SkyHouse,"Logix City Centre Mall,Sector 32, Noida", Noida,Noida,"Finger Food,  North Indian,  Italian,  Chinese,  Continental",4.2,969,2300
Chili's American Grill and Bar,"Ambience Mall,DLF Phase - 3, Gurgaon", Gurgaon,Gurgaon,"Mexican,  American,  Italian",4.5,967,2000
QBA,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Oriental ",4.3,963,2100
A'La Liberty,"Cyber Grub,Hitech City, West Hyderabad", West Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Asian",4.2,957,1300
ABs - Absolute Barbecues,"Thyagaraya Nagar, Central Chennai", Central Chennai,Chennai,"North Indian,  Barbecue,  Mediterranean,  European",4.3,953,1400
ABs - Absolute Barbecues,"Inorbit Mall,Madhapur, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Barbecue,  Seafood",4.4,949,1200
Plum By Bent Chair,"Worldmark 2,Aerocity, South Delhi", South Delhi,Delhi,"Asian,  Continental,  Japanese,  Pizza,  Sushi",4.3,947,3000
Seasonings - The Spice Mysteries,"Ashok Vihar Phase - 2, North Delhi", North Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Mughlai",4.1,945,1600
Social,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Multi-Cuisine,  North Indian,  Chinese,  Pizza,  Drinks,  Burger",4.3,944,1500
Vedge,"Near Andheri West Station, Andheri West", Andheri West,Mumbai,"Multi-Cuisine,  North Indian,  Italian,  Mexican,  Asian",4.2,941,1500
Verandah Moonshine,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"North Indian,  Fast Food",4.2,939,1500
Sura Vie,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese",4.2,925,1800
Oh My God,"F-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Italian,  Chinese,  Continental",4.1,922,2200
Lord of the Drinks Forum,"Epicuria Food Mall,Nehru Place, South Delhi", South Delhi,Delhi,"Multi-Cuisine,  North Indian,  Continental,  Oriental ",4.2,919,2000
Mystique Melange,"Ashok Vihar Phase - 2, North Delhi", North Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Thai,  Lebanese,  Oriental ",4.2,916,1800
Chai Break,"RDB Boulevard,Salt Lake, East Kolkata", East Kolkata,Kolkata,"Fast Food,  Tea,  Italian,  Chinese",4.2,915,1100
Duty Free | Vayu,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Mexican",4.1,911,2200
Over The Top - BBQ Grill,"Janakpuri, West Delhi", West Delhi,Delhi,"North Indian,  Italian,  Oriental ",3.7,908,1400
Level Seven,"Topsia, East Kolkata", East Kolkata,Kolkata,"North Indian,  Continental,  Italian",4.1,906,1800
Yauatcha,"Raheja Towers,Bandra Kurla Complex, Bandra", Bandra,Mumbai,"Chinese,  Seafood,  Asian",4.6,904,3000
Uno Chicago Bar & Grill,"Kankurgachhi, East Kolkata", East Kolkata,Kolkata,"American,  Italian,  Continental",4.4,900,1500
MKT,"The Chanakya,Chanakyapuri, South Delhi", South Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Mexican,  European,  Seafood,  Asian",4.5,899,1900
Olive Bar & Kitchen,"Mehrauli, South Delhi", South Delhi,Delhi,"Continental,  Italian,  Mediterranean,  European",4.5,897,3000
K Local,"City Centre 1,Salt Lake, East Kolkata", East Kolkata,Kolkata,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Asian",4.1,897,1500
Kouzina Mining Co.,"Salt Lake, East Kolkata", East Kolkata,Kolkata,"North Indian,  Chinese,  Continental",4.3,895,1600
Farzi Cafe,"UB City,Vittal Mallya Road, Central Bangalore", Central Bangalore,Bangalore,Modern Indian,4.3,890,1500
Barbeque Nation,"Savoy Suites,Sector 16, Noida", Noida,Noida,"North Indian,  Barbecue,  Mughlai",4.5,888,1700
Smoke Hub Barbeque,"Saligramam, West Chennai", West Chennai,Chennai,"North Indian,  Barbecue",3.8,885,1800
Cafe Delhi Heights,"Worldmark 3,Aerocity, South Delhi", South Delhi,Delhi,"Modern Indian,  Italian,  Continental,  American",4.3,884,2000
Cafe After Hours,"City Centre Mall,Dwarka, West Delhi", West Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",4.2,883,1800
Desi Vibes,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Mughlai",4.2,881,2200
Ohri's Jiva,"Begumpet, Secunderabad", Secunderabad,Hyderabad,"North Indian,  Chinese,  Rajasthani,  Fast Food",4.1,881,1100
The Biere Club,"Vittal Mallya Road, Central Bangalore", Central Bangalore,Bangalore,"Continental,  Finger Food",4.3,878,1700
Glocal Junction,"Nehru Centre,Worli, South Mumbai", South Mumbai,Mumbai,"Continental,  Fast Food,  North Indian,  European",4.4,875,2200
Desi Vibes,"Sector 18, Noida", Noida,Noida,"North Indian,  Mughlai",4.4,870,1700
ABs - Absolute Barbecues,"Marathahalli, East Bangalore", East Bangalore,Bangalore,"North Indian,  Barbecue,  Seafood",4.3,858,1200
Stories Bar and Kitchen,"Rajajinagar, West Bangalore", West Bangalore,Bangalore,"Continental,  North Indian,  Italian,  Chinese",4.2,854,800
Sandoz,"Ashok Vihar Phase - 2, North Delhi", North Delhi,Delhi,"North Indian,  Chinese",4.3,851,1000
ShakesBierre,"Eva Mall,Brigade Road, Central Bangalore", Central Bangalore,Bangalore,"North Indian,  Italian,  Pizza",4.3,851,1800
Imperfecto,"Logix City Centre Mall,Sector 32, Noida", Noida,Noida,"Multi-Cuisine,  North Indian,  Continental,  Mediterranean,  Oriental ,  Fast Food",3.9,847,2400
Lazeez Affaire,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Mughlai",4.2,845,2600
Gram by Taksim,"Ansal Plaza Mall,Khel Gaon, South Delhi", South Delhi,Delhi,"North Indian,  Asian,  Italian,  European",4.1,844,2200
TFO - The Factory Outlet,"Westside Building,Camac Street, Central Kolkata", Central Kolkata,Kolkata,"Finger Food,  Italian,  Mediterranean,  European",4.3,840,1500
Green House - The Beer Garden,"Eros City Square,Sector 49, Gurgaon", Gurgaon,Gurgaon,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Mexican,  Mediterranean,  European,  Oriental ",4.5,836,2100
Caffe Tonino,"PVR Plaza,Connaught Place, Central Delhi", Central Delhi,Delhi,Italian,4.5,826,2000
Cyber Hub Social,"Cyber Hub,DLF Cyber City, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Continental,  American,  Italian,  Oriental ",4.4,819,2000
Dramz,"Mehrauli, South Delhi", South Delhi,Delhi,"Multi-Cuisine,  North Indian,  Continental,  European,  Oriental ",4.1,816,2400
The Chatter House,"Epicuria Food Mall,Nehru Place, South Delhi", South Delhi,Delhi,"North Indian,  Italian,  Continental",4.2,815,2000
Cafe Delhi Heights,"Rajouri Garden, West Delhi", West Delhi,Delhi,"Continental,  Modern Indian,  Italian,  American",4.5,809,2000
Barbeque Nation,"ANR Center,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Barbecue,  North Indian,  Mediterranean",4.3,808,1400
Chili's American Grill and Bar,"Quest Mall,Ballygunge, South Kolkata", South Kolkata,Kolkata,"Mexican,  American",4.4,807,1500
Barbeque Nation,"Park Center Building,Park Street, Central Kolkata", Central Kolkata,Kolkata,"Barbecue,  North Indian,  Chinese,  Mughlai",4.5,800,1500
64/6,"Country Inn and Suites By Radisson-Sahibabad,Sahibabad, Ghaziabad", Ghaziabad,Ghaziabad,"North Indian,  Chinese,  Continental",4.6,799,3000
Smoke House Deli,"DLF Promenade Mall,Vasant Kunj, South Delhi", South Delhi,Delhi,"Italian,  European,  American",4.4,799,2200
A'La Liberty,"Leela Gopal Towers,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Asian",4.1,791,800
90ft Above,"Vini Elegance,Borivali West, North Western", North Western,Mumbai,"North Indian,  Chinese",4.1,788,1200
The G.T. Road,"Sector 26, East Chandigarh", East Chandigarh,Chandigarh,"North Indian,  Mughlai",4.3,788,1500
Boombox Brewstreet,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"Arabian,  North Indian,  Italian,  Continental,  Oriental ",4.2,778,2500
Cafe Delhi Heights,"Janpath, Central Delhi", Central Delhi,Delhi,"Modern Indian,  Italian,  Continental,  American",4.4,776,2000
Exotica,"12th Square Building,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"North Indian,  Chinese,  Mughlai",4.4,775,2800
Over The Moon Brew Company,"Gachibowli, West Hyderabad", West Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Continental,  Asian",4.2,771,2500
Fisco Restobar,"Kandivali West, North Western", North Western,Mumbai,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",4.3,767,2000
The Lal Street - Bar Stock Exchange,"SLN Terminus,Gachibowli, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Finger Food,  Pizza",4.1,767,1600
Cafe Delhi Heights,"Ambience Mall,DLF Phase - 3, Gurgaon", Gurgaon,Gurgaon,"Continental,  Modern Indian,  Italian,  American,  Asian",4.4,763,2000
Time Machine,"Gardens Galleria,Sector 38A, Noida", Noida,Noida,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Oriental ",4.2,759,3000
Barbeque Nation,"RDB Boulevard,Salt Lake, East Kolkata", East Kolkata,Kolkata,"Barbecue,  North Indian,  Chinese,  Mughlai",4.6,756,1500
Hakuna Matata,"JP Nagar, South Bangalore", South Bangalore,Bangalore,"North Indian,  Chinese,  Thai,  Seafood",4.6,755,1000
Summer House Cafe,"DDA Shopping Complex,Hauz Khas, South Delhi", South Delhi,Delhi,"Italian,  Mediterranean,  Finger Food",4.2,750,2300
Jonathan's Kitchen,"Fairfield by Marriott Hyderabad Gachibowli,Gachibowli, West Hyderabad", West Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Italian,  Japanese,  European",4.2,746,1800
Nehru Place Social,"Epicuria Food Mall,Nehru Place, South Delhi", South Delhi,Delhi,"North Indian,  Continental,  American,  Chinese",4.4,741,2000
Pirates Of Grill,"MGF Mega City Mall,MG Road, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Continental,  Mughlai",4.5,736,2000
ABs - Absolute Barbecues,"Whitefield, East Bangalore", East Bangalore,Bangalore,"North Indian,  Barbecue,  Seafood",4.3,736,1200
Revolt Jubilee Hills,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Italian,  Chinese,  Finger Food,  North Indian",3.9,731,2000
AB's - Absolute Barbecues,"Salt Lake, East Kolkata", East Kolkata,Kolkata,"North Indian,  Barbecue,  Seafood",4.3,730,1200
Hammered,"New BEL Road, North Bangalore", North Bangalore,Bangalore,"North Indian,  Chinese",4.2,729,1200
Please Don't Talk,"Ho Chi Minh Sarani, Central Kolkata", Central Kolkata,Kolkata,"Italian,  North Indian,  Japanese,  Lebanese",4.3,725,2000
Chili's American Grill and Bar,"DLF Avenue,Saket, South Delhi", South Delhi,Delhi,"Mexican,  American,  Italian",4.3,724,2000
Global Fusion,"Times Square Tech Park,Sakinaka, Andheri East", Andheri East,Mumbai,"North Indian,  Chinese,  Sushi",4.5,716,2000
Farzi Cafe,"Cyber Hub,DLF Cyber City, Gurgaon", Gurgaon,Gurgaon,"Modern Indian,  Continental,  Finger Food",4.3,715,2000
Barbeque Nation,"JP Nagar, South Bangalore", South Bangalore,Bangalore,"Barbecue,  North Indian,  Drinks",4.5,714,1800
Caafe 360 Degree,"Kankurgachhi, East Kolkata", East Kolkata,Kolkata,"Fast Food,  Italian,  Chinese,  Shakes",4.5,714,1000
Ghoomar Traditional Thali Restaurant,"Connaught Place, Central Delhi", Central Delhi,Delhi,Rajasthani,4.2,712,1000
Cafe Hawkers,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Italian,  Fast Food",4.3,712,1200
Jalpaan,"Oasis Centre,Begumpet, Secunderabad", Secunderabad,Hyderabad,"North Indian,  Italian,  Chinese,  Continental",4.1,712,1200
